County,Stream,Location,Type,Fishing Season,Possession Season,"Brook Trout
Kent,Buck Creek,downstream limit is confuence with Grand River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Kent,Coldwater River,from Freeport Rd. downstream to confuence with Thornapple River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Kent,Nash Creek,downstream limit is confuence with Rogue River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Kent,Rogue River,"downstream limit is confuence with Grand River. Year-round — From Rockford Dam downstream to confuence with Grand River — the daily possession limit for Type 4 still applies with up to fve (5) Rainbow Trout allowed in the daily possession limit, no more than three (3) trout 15"" or greater and shall not include more than one (1) Rainbow Trout 20 inches or greater.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Big Traverse River,upstream limit is Gay-Lake Linden Road.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Eagle River,upstream limit is dam at Eagle River Village.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Fanny Hooe River,upstream limit is Lake Fanny Hooe.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Gratiot River,"from Bridge (T57N, R32W, S19,20) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Silver Creek,"upstream limit is Falls (T58N, R32W, S26).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Silver River,upstream limit is Hwy M-26.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Keweenaw,Tobacco River,upstream limit is mouth of Black Brook Creek.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Lake,Little Manistee River,"from North Peacock Trail (Spencer’s Bridge T19N, R13W, S5) to Johnson’s Road (Johnson’s Bridge T20N, R14W, S24). SC - Closed to Fishing - Jan. 1 - Mar. 31 - from a point 300 feet upstream of the DNR weir to Spencer’s Bridge.",GR,April 1 – Dec. 31,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open April 1 – Dec. 31 for all other trout and salmon,"10""","15""","10""","2 fsh, any combination of trout and salmon"
Lake,Little Manistee River,"from Johnson Rd. (Johnson’s Bridge) downstream to the boundary with Manistee Lake, which is defned as the power line crossing downstream of Stronach Road Bridge (also referred to as Water Street on some maps). SC - Closed to Fishing - Jan. 1 - Mar. 31 - from a point 300 ft. upstream of the DNR weir to Spencer’s Bridge. Year-round — from Johnson Rd downstream to 300 feet above the Little Manistee River Weir — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Lake,Pere Marquette River,from M-37 to the downstream edge of the boat ramp/slide at Gleason’s Landing.,GR,open all year,closed all year; except for children under 12 the possession season is open all year,"8"" Min, 12"" Max","8"" Min, 12"" Max","8"" Min, 12"" Max",zero trout and salmon; except children under 12 may keep 1 trout or salmon
Lake,Pere Marquette River,"from the downstream edge of the boat ramp/slide at Gleason’s Landing to the upstream edge of the boat ramp at Rainbow Rapids. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",GR,open all year,last Sat. in April –Aug. 31,"8""","8""","10""","2 trout or salmon; with no more than 1 Brown Trout 18"" or greater, and no more than 1 Rainbow Trout"
Lake,Pere Marquette River,"from the upstream edge of the boat ramp at Rainbow Rapids (T18N, R14W, S27) downstream to Reek Rd. (Indian Bridge). Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Lake,Pine River,from Elm Flats Public Access Site to confuence with Tippy Dam backwaters.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Lapeer,Belle River,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Leelanau,Crystal River,from Fisher Dam downstream to L. Michigan.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Leelanau,Leland (Carp) River,,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Leelanau,Shalda Creek,"from Little Traverse Lake outlet (T29N, R13W, S10) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Luce,Blind Sucker River,upstream limit is Blind Sucker Flooding Dam.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Luce,Two-Hearted River,from Co. Rd. 407 (High Bridge) downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Black River,upstream limit is Peters Truck Trail Footbridge.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Brevoort River,upstream limit is Brevoort Lake.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Carp River Mainstream,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Crow River,upstream limit is outfall of Amadon Pond.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Milakokia River,"Inland-Limstone Co. Railroad Bridge (T41N, R13W, S1) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Millecoquins River,from H-40 bridge downstream to L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mackinac,Pine River,from H-40 Bridge downstream to L. Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Macomb,Clinton River,from Yates Dam above Dequindre Rd. downstream to Lake St. Clair.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Macomb,North Branch Clinton River,from 32 Mile Rd. downstream to confuence with Clinton River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Bear Creek,"from County Road 600 (T23N, 14W, S6) downstream to confluence with Manistee River. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Betsie River,"from Kurick Rd. downstream to M-22. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Bowens Creek,from St. Pierre Road downstream to M-22.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Little Manistee River,"from Johnson Rd. (Johnson’s Bridge) downstream to the boundary with Manistee Lake, which is defned as the power line crossing downstream of Stronach Road Bridge (also referred to as Water Street on some maps). SC - Closed to Fishing - Sep. 1 - Nov. 14 and Jan. 1 - March 31 from a point 300 feet downstream from the DNR weir in T21N, R16W, S25 down to the boundary with Manistee Lake, which is defned as the power line crossing downstream of Stronach Road Bridge (also referred to as Water Street on some maps). SC - Closed to Fishing - Year-round within 300 feet of the DNR weir, T21N, R16W, S25. SC - Closed to Fishing - Jan. 1 - March 31 from a point 300 feet upstream of the DNR weir to Spencer’s Bridge. Year-round — from Johnson Rd downstream to 300 feet above the Little Manistee River Weir the daily possession limit shall not include more than one (1) Rainbow Trout. NOTE: The daily possession limit shall not include more than one (1) Rainbow Trout from 300’ downstream of Little Manistee River Weir down to the boundary with Manistee Lake, which is defned as the power line crossing downstream of Stronach Road Bridge (also referred to as Water Street on some maps). Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Manistee River,from Hodenpyl Reservoir downstream to Red Bridge.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Manistee River,"from Tippy Dam downstream to Railroad Bridge below M-55 (T21N, R16W, S6). Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Manistee,Pine River,from Elm Flats Public Access Site to confuence with Tippy Dam backwaters.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Big Garlic River Mainstream,"from Forks (T49N, R27W, S12) downstream to County Road 550 (T50N, R26W, S33)",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Big Garlic River tributaries,"from County Road 550 (T50N, R26W, S33) downstream to L. Superior (T50N, R26W, S21).",1 BTRA,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"20""","8""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Marquette,Big Huron River,"from Big Eric’s Bridge (T52N, R30W, S35) downstream to L. Superior (T52N, R29W, S18).",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Marquette,Carp River,"from Deer Lake Dam (T48N, R27W, S27) downstream to Morgan Creek.",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Carp River,from Morgan Creek downstream to L. Superior. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Chocolay River,"from confuence of Big Creek (T47N, R24W, S9) downstream to L. Superior",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Ford River,"from T43N, R27W, S33 (Dickinson Co.) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Harlow Creek,"from Railroad Bridge (T49N, R26W, S24) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Marquette,Iron River,"from Lake Independence Dam (T51N, R27W, S13) downstream to L. Superior (T51N, R26W, S18).",4 BTRA,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","20""","10""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Marquette,Little Huron River,"from unnamed bridge crossing located at the southern border of section 20 (T52N, R29W, S20) downstream to L. Superior (T52N, R29W, S17).",1 BTRA,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"20""","8""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Marquette,Salmon-Trout River,"from Lower Falls (T51N, R28W, S13) down to L. Superior. No fshing - Aug. 15 - the Friday before the last Saturday in April.",1 BTRA,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"20""","8""","10""","5 fish, but no more than 3 trout 15"" or greater and 1 brook trout"
Mason,Big Sable River,"from Bridge Crossing (T19N, R15W, S3) downstream to Hamlin Lake.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Big Sable River,"from Hamlin Lake Dam downstream to L. Michigan. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Big South Branch Pere Marquette River,"from confuence of Beaver/ Winnepesaug creeks downstream to confuence with Pere Marquette River. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Lincoln River,"from confuence of N. and S. Br. of Lincoln River, (T19N, R17W, S32) downstream to L. Michigan.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Little Manistee River,"from Johnson Rd. (Johnson’s Bridge) downstream to the boundary with Manistee Lake, which is defned as the power line crossing downstream of Stronach Road Bridge (also referred to as Water Street on some maps). SC - Closed to Fishing - Jan. 1 - March 31 from a point 300 feet upstream of the DNR weir to Spencer’s Bridge. Year-round — from Johnson Rd. downstream to 300 feet above the Little Manistee River Weir the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Pentwater River and all tributaries,"Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",,,,,,,
Mason,Pere Marquette River,"from the upstream edge of the boat ramp at Rainbow Rapids (T18N, R14W, S27) downstream to Reek Rd. (Indian Bridge). Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mason,Pere Marquette River,"from Reek Rd. (Indian Bridge) downstream to Old US-31. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mecosta,Little Muskegon River,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mecosta,Muskegon River,"from US-10 downstream to River Bend Blufs Public Access Site (T15N, R9W, S31).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Mecosta,Tamarack Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Menominee,Big Cedar River,"from Veterans Memorial Park Dam (T38N, R26W, S9) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Menominee,Ford River,"from T43N, R27W, S35 (Dickinson Co.) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Menominee,Walton Creek (River),"from Westmann Dam (T35N, R25W, S18) down to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Midland,Chippewa River,"from outlet of Lake Isabella, (T15N, R6W, S35) Isabella Co. downstream to confuence with the Tittabawassee River, (T14N, R2E, S21), Midland Co.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
