County,Stream,Location,Type,Fishing Season,Possession Season,"Brook Trout
Midland,Tittabawassee River,"from Sanford Dam site downstream to confuence with the Saginaw River. SC - Closed to Fishing - March 16 - Fri. before last Sat. in April between Sanford Dam and the mouth of the Salt River (T15N, R1W, S24). SC - Closed to Fishing - March 16 - Fri. before last Sat. in April between the Dow Dam and Gordonville Bridge (T13N, R2E, S1).",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Missaukee,Manistee River,"from Sunset Trail Rd. (CCC Bridge T26N, RW, S26) downstream to M-115.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Monroe,Huron River,from Belleville Lake Dam in Wayne Co. downstream to L. Erie,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Montcalm,Fish Creek,"from Sidney Rd. (T10N, R6W, S20) downstream to confuence with Maple River.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Montcalm,Little Muskegon River,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Montcalm,Prairie Creek,Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Montcalm,Tamarack Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Montmorency,Black River,"from Tin Shanty Bridge Rd. downstream to the Town Corner Lake Stairs (T32N, R1E, S31).",GR,open all year,last Sat. in April – Sep. 30 for Brook Trout; open all year for Brown Trout and Rainbow Trout,"10""","8""","10""",5 trout; with no more than 2 Brook Trout
Montmorency,Hunt Creek,"(T29N, R3E) East Fish, West Fish and Middle Fish lakes, and 2.4 miles of Hunt Creek from the Section Z bulkhead south to the Montmorency- Oscoda Co. line, and all of Fuller Creek, all in Sections25-27 and 34-36 is closed to fshing.",NO,Closed To fishing,None,None,None,None,None
Montmorency,Thunder Bay R.,from Atlanta dam to Sucker Cr. confuence upstream of Hillman Pond.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Muskegon,Cedar Creek,"from River Rd. (T11N, R15W, S33) downstream to confuence with Muskegon River.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Muskegon,Crockery Creek Mainstream,"from Moore Rd. (T10N, R13W, S4) in Muskegon Co. downstream to confuence with Grand River (Ottawa Co.).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Muskegon,Muskegon River,"from Croton Dam downstream to M-120. Year-round — the daily possession limit for Type 3 still applies with up to fve (5) Rainbow Trout allowed in the daily possession limit, no more than three (3) trout 15"" or greater and shall not include more than one (1) Rainbow Trout 20 inches or greater. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Muskegon,North Branch Crockery Creek,"mainstream from Kenowa Ave. (T10N, R13W, S36) downstream to confuence with Crockery Creek mainstream at Ravenna.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Muskegon,White River,"from Hesperia Dam downstream to White Lake (Business Route US-31 in Whitehall) Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Newaygo,Big South Branch Pere Marquette River,"from confuence of Beaver/ Winnepesaug creeks downstream to confuence with Pere Marquette River. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Newaygo,Little Muskegon River,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Newaygo,Muskegon River,"from Croton Dam downstream to M-120. Year-round — the daily possession limit for Type 3 still applies with up to fve (5) Rainbow Trout allowed in the daily possession limit, no more than three (3) trout 15"" or greater and shall not include more than one (1) Rainbow Trout 20 inches or greater. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Newaygo,Rogue River,downstream limit is confuence with Grand River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Newaygo,Tamarack Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oakland,Huron River,"from 50 yards below Proud Lake Dam (T2N, R8E, S18) to 100 yards below Wixom Rd. (T2N, R7E, S13).",GR,open all year,closed; except for children under 12 the possession season is open,"8"" Min, 12"" Max","8"" Min, 12"" Max","8"" Min, 12"" Max",zero trout; except children under 12 may keep 1 trout
Oakland,Paint Creek,from Gunn Rd. to Tienken Rd.,GR,last Sat. in April – Sep. 30 for all trout,last Sat. in April – Sep. 30 for all trout,"14""","14""","14""",2 trout
Oceana,Big South Branch Pere Marquette River,"from confuence of Beaver/ Winnepesaug creeks downstream to confuence with Pere Marquette River. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oceana,North Branch Pentwater River,"from Oceana Dr. downstream to confuence with mainstream of Pentwater River. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oceana,North Branch White River,"from Arthur Rd. downstream to confuence with White River. Year-round — the daily possession limit shall not include more than one (1) Rainbow Trout. Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oceana,Pentwater River,"from Hart Dam downstream to confuence with Pentwater Lake (Long Bridge Rd. or B15). Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oceana,White River,"from Hesperia Dam downstream to White Lake (Business Route US-31 in Whitehall) Special Artifcial Lure Regulations: apply Aug. 1 - Nov. 15, see p. 8.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ogemaw,Rife River,"from Sage Lake Road (T23N, R3E, S22) downstream to Saginaw Bay.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Big Iron River,"from Koshak Rd. Bridge (T49N, R43W, S2) downstream to L. Superior.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,East Branch Ontonagon River,upstream limit is Hwy. M-28.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,East Sleeping River,"from railroad trestle (T53N, R38W, S25) downstream to L. Superior.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Firesteel River,(including East & West Branch) upstream limit is Hwy. M-26.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Little Iron River,"upstream limit is Nonesuch Falls (T50N, R43N, S1).",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Middle Branch Ontonagon River,downstream limit is Agate Falls.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Middle Branch Ontonagon River,Agate Falls is upstream limit.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Misery River,"upstream limit is bridge in T53N, R37W, S15.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Ontonagon River,,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,Union River,"from South Boundary Rd. (T51N, R42W, S22) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,West Branch Big Iron River,"from Burnt Dam Bridge (T50N, R44W, S36) downstream to confuence with Big Iron River.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ontonagon,West Branch Ontonagon River,"upstream limit is confuence with Victoria Hydro Station tail race (T50N, R39W, S29). SC - Closed to Fishing - April 1 - June 10 from its confuence with the Victoria Hydro Station tail race in the SE1/4 of the SW1/4 of T50N, R39W, S29 upstream to Victoria Dam.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Osceola,Muskegon River,"from US-10 downstream to River Bend Blufs Public Access Site (T15N, R9W, S31).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oscoda,Au Sable River Mainstream,"from McMasters Bridge Rd. (McMasters Bridge) downstream to Rainbow Bend power line (T26N, R2E, S3).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oscoda,Au Sable River Mainstream,"from Mio Dam down to the Mio power line at (T26N, R3E, S7).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Oscoda,Au Sable River Mainstream,"from Mio power line (T26N, R3E, S7) downstream to Evans Rd. (McKinley Bridge).",GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"7""","18""","10""","2 trout with no more than 1 trout 18"" or greater"
Oscoda,Au Sable River Mainstream,from Evans Rd. (McKinley Bridge) downstream to 4001 Bridge.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Otsego,Black River,"from Tin Shanty Bridge Rd. downstream to the Town Corner Lake Stairs (T32N, R1E, S31).",GR,open all year,last Sat. in April – Sep. 30 for Brook Trout; open all year for Brown Trout and Rainbow Trout,"10""","8""","10""",5 trout; with no more than 2 Brook Trout
Otsego,Manistee River,from headwaters downstream to Co. Rd. 612.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Otsego,Pigeon River,"from Old Vanderbilt Rd. downstream to Elk Hill Campground Horse Trail (T32N, R1W, S10).",2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Otsego,Pigeon River,from Elk Hill Campground Horse Trail to Pine Grove Campground stairs.,GR,open all year,last Sat. in April – Sep. 30 for Brook Trout and Brown Trout; open all year for Rainbow Trout,"10""","12""","10""",2 trout; with no more than 1 Brown Trout
Ottawa,Crockery Creek Mainstream,"from Moore Rd. (T10N, R13W, S4) in Muskegon Co. downstream to confuence with Grand River (Ottawa Co.).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ottawa,North Branch Crockery Creek Mainstream,"from Kenowa Ave. (T10N, R13W, S36) downstream to confuence with Crockery Creek mainstream at Ravenna.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Ottawa,Sand Creek,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Presque Isle,Ocqueoc River,from Barnhart L. down to L. Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Presque Isle,Swan River,"from US-23 Bridge downstream to L. Huron. SC - Closed to Fishing - Whenever weir is in place - from 300 feet above weir to mouth (T35N, R6E, S20 & S29).",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Presque Isle,Trout River,"from dam (T35N, R5E, S17) downstream to L. Huron.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Saginaw,Saginaw River,,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Saginaw,Tittabawassee River,from Sanford Dam site downstream to confuence with the Saginaw River.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Schoolcraft,Fox River,"from Fox River State Forest Campground (T46N, R14W, S11) to M-28.",GR,open all year,closed; except for children under 12 the possession season is open,"8"" Min, 12"" Max","8"" Min, 12"" Max","8"" Min, 12"" Max",zero trout; except children under 12 may keep 1 trout
Schoolcraft,Manistique River,from Papermill Dam downstream to L. Michigan.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Schoolcraft,Milakokia River,"Inland-Limstone Co. Railroad Bridge (T41N, R13W, S1) downstream to L. Michigan.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Clair,Belle River,,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Clair,Black River,from private dam in Port Huron State Game Area downstream to confuence with St. Clair R.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Clair,Mill Creek,downstream limit is confuence with Black R.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Joseph,Curtis Creek and Tributaries,,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Joseph,Mill Creek and Tributaries,"from Preston Road (T7S, R12W, S7) downstream to impoundment at T7S, R12W, S32.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Joseph,Prairie River Mainstream,"from Bowers Road (T8S, R7W, S4) downstream to McKale Road (T7S, R9W, S8).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
St. Joseph,Unnamed Tributary,"(T6S, R10W, S26).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,Black River Mainstream,from confuence of N. and S. Br. down to L. Michigan.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,Brush Creek (Except Reynolds Lake Drain),from 63rd Ave. downstream to confuence with Paw Paw River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,Dowagiac River (including Dowagiac Drain),from source downstream to confuence with St. Joseph River.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,Pine Creek,"downstream limit is 101st Ave. (T1N, R12W,S32).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,South Branch of the Black River,"from Hamilton Street Bridge (T2S, R16W, S1) downstream to confuence with mainstream (T1S, R17W, S2). Type 1 from Hamilton St.Bridge up to Bangor City Dam. Hook Restriction: South Branch Black River and all Tributaries upstream of Breedsville (Mill Str.) - it shall be unlawful to use other than one single-pointed unweighted hook measuring 1/2"" or less from point to shank.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Van Buren,South Branch Paw Paw River (aka Gates Drain or West Branch) and tributaries,"downstream to the railroad bridge downstream of I-94 (T3S, R14W, S14).",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Wayne,Huron River,from Belleville Lake Dam in Wayne Co. downstream to L. Erie.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Wexford,Manistee River,"from Sunset Trail Rd. (CCC Bridge T26N, R6W,S26) downstream to M-115.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Wexford,Pine River,from Elm Flats Public Access Site to confuence with Tippy Dam backwaters.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"